Smiles,Boiling_point_K
C=C1CC(CC)C1,369.7629274
C=C1CC=CCC1,377.6706161
C=C1CCCCC1,376.3221455
C=C=C(C)C(C)=C,377.4993339
C=C=C(C)C=C=C,379.8761343
C=C=C(C1CC1)C,368.7714775
C=C=CC(C)(C)C,358.9423392
C=C=CCC(C)C,360.8272006
C=C=CCCCC,369.8654334
C=CC#CC=CC,403.5364234
C=CC#CCC=C,389.0965847
C=CC#CCCC,383.116483
C=CC(C)(C)C=C,357.7847076
C=CC(C)(C)CC,359.7154094
C=CC(C)=C(C)C,383.280097
C=CC(C)C,294.9162976
C=CC(C)C(C)C,353.9813911
C=CC(C)C(C)CC,382.0111472
C=CC(C)C=C,333.7967286
C=CC(C)CC,327.36875
C=CC(C)CC=C,359.7980498
C=CC(C)CCC,359.0850799
C=CC(C=C)=CC,389.9647831
C=CC(C=C)C=C,356.1456356
C=CC(CC)CC,360.9351193
C=CC(CC)CCCC,411.9577223
C=CC/C(C)=C/C,372.3166044
C=CC/C=C\CC,365.9571575
C=CC1(C#C)CC1,357.7182848
C=CC1=CC=CC=C1,418.31
C=CC1=CCCC1,384.1467442
C=CC1C=CCC1,368.9237232
C=CC1CCCC1,364.3208962
C=CC=C(C)CC,378.0431426
C=CC=C1C=CC1,385.8587533
C=CC=CC,312.4737692
C=CC=CC(C)C,373.8643349
C=CC=CC=CC,393.567648
C=CC=CCC=C,382.2342198
C=CC=CCCC,383.3570592
C=CCC,268.6817715
C=CCC(C)(C)C,346
C=CCC(C)=CC,372.3166044
C=CCC(C)C,327.36875
C=CCC(C)CC,358.1741172
C=CCC/C=C\C,368.4749075
C=CCC=C(C)C,370.9038124
C=CCC=CCC,365.9571575
C=CCCC,302.5037457
C=CCCC(C)C,357.5109442
C=CCCC1CC1,366.2252781
C=CCCC=CC,368.4749075
C=CCCCC,337.4523936
C=CCCCC#C,367.1325175
C=CCCCC=C,364.8882417
C=CCCCCC,367.4595314
C=CCCCCCC,394.9060219
C=CCCCCCCC,418.586407
C=CCCCCCCCC,442.9050503
C=CCCCCCCCCC,465.5580301
C=CC[C@@H](C)CC,358.6432455
C=C[C@H](C)C(C)C,354.4305726
C=C[C@H](C)CCC,360.4651709
C=C[C@H]1[C@H](C=C)C1,357.912283
CC#CC(C)(C)C,363.6867643
CC#CC(C)CC,371.0368477
CC#CCC(C)C,371.1477758
CC#CCCCC,373.5346288
CC(C)(C)C,284.1781538
CC(C)(C)C(C)C,353.6753805
CC(C)(C)C(C)CCC,409.0751296
CC(C)(C)C(C)CO,426.4258518
CC(C)(C)C(O)CC,421.5393477
CC(C)(C)C(OC)C,378.1179902
CC(C)(C)CC,323.3888759
CC(C)(C)CC(C)(C)C,397.3549336
CC(C)(C)CC(C)C,375.3585001
CC(C)(C)CC(C)CC,401.7794318
CC(C)(C)CCC,352.8303253
CC(C)(C)CCC(C)C,401.7794318
CC(C)(C)CCCC,379.9131881
CC(C)(C)CCCCCC,430.4525622
CC(C)(C)CCCO,434.2037086
CC(C)(C)CCOC,398.4325941
CC(C)(OC)C(C)C,372.3237754
CC(C)(OC)CCC,380.3058293
CC(C)(OCC)CC,374.7826081
CC(C)/C=C/CC,360.2143226
CC(C)=C(C)CC,369.4976549
