Smiles,?Hc°(KJ/kg)
CC(C)CCCCCC,44287.721359999996
CC(C)CCCCCCC,44229.429025000005
CC(C)CCCCCCCC,44184.203089999995
CC(C)CCCCCCCCC,44147.40564
CC(C)CCCCO,37499.21944
CC(C)CCCOC,37345.526289999994
CC(C)CCOCC,37725.42579
CC(C)COCCC,37256.96362
CC(C1=CC=C(C)C=C1)C,41421.89531
CC(C1=CC=CC=C1)C,41180.326929999996
CC(C1=CC=CC=C1C)C,41370.04088
CC(C1CC1)=CC,43829.47485
CC(C1CC1)CC,43435.54271
CC(C1CCC1)C,43213.05243
CC(C1CCCC1)C,43156.636889999994
CC(O)(C)C(C)(C)C,35887.34515
CC(O)(C)C(C)CC,36449.57787
CC(O)(C)CC(C)C,36811.50791
CC(O)(C)CCCC,37596.72354
CC(O)C(C)(C)CC,37137.309389999995
CC(O)C(C)C(C)C,37077.50271
CC(O)C(C)CCC,37434.80735
CC(O)C(CC)CC,37383.620989999996
CC(O)CC(C)(C)C,37067.156310000006
CC(O)CC(C)CC,37451.93279
CC(O)CCC(C)C,37354.15984
CC(O)CCCCC,37093.40994
CC(OC(C)(C)C)C,35360.71484
CC(OC(C)(CC(C)C)C)(CC(C)C)C,32934.0665
CC(OC(C)CC)C,33454.03427
CC(OC(CC(C)(C)C)C)CC(C)(C)C,37724.37178
CC(OC)CC(C)C,37918.77932
CC(OC)CCCC,36801.29702
CC(OCC)CCC,37516.335139999996
CC(OCCC)(C)C,36999.50292
CC(OCCC)CC,37780.805980000005
CC([C@@H]1[C@H](C)C1)C,43613.04483
CC/C(C)=C/CC,44296.263985
CC/C(C)=C\CC,44296.263985
CC/C=C/C1CC1,43354.06233
CC/C=C/CC,44368.624915
CC/C=C/CCC,44247.04854
CC/C=C/CCCC,44151.321339999995
CC/C=C/CCCCC,44098.99522
CC/C=C\C1CC1,43354.06233
CC/C=C\CC,44350.66713
CC/C=C\CCC,44247.04854
CC/C=C\CCCC,44151.321339999995
CC/C=C\CCCCC,44098.99522
CC1(C)C=CC=C1,41186.00744
CC1(C)C=CCC1,43158.19466
CC1(C)CC=CC1,43047.880110000006
CC1(C)CCCC1,43560.38195
CC1(CC)CCC1,43920.13095
CC1(CC)CCCC1,43456.84353499999
CC1=C(C)C(C)=CC=C1,40960.99336666667
CC1=C(C)C(CC)=CC=C1,41233.27994
CC1=C(C)C1(C)C,43168.72053
CC1=C(C)C=C(C)C(C)=C1,41061.90729
CC1=C(C)CC=C1,43295.29967
CC1=C(C)CCC1,43290.14417
CC1=CC(C)=C(C)C(C)=C1,41061.90729
CC1=CC(C)=CC(C)=C1,40952.63537
CC1=CC(C)=CC=C1,40749.97657
CC1=CC(CC)=CC=C1,41178.85106
CC1=CC2=C(CCC2)C=C1,45394.583569999995
CC1=CC=C(C)C(C)=C1,40952.63537
CC1=CC=C(C)C(C)=C1C,41061.90729
CC1=CC=C(C)C(CC)=C1,41233.27994
CC1=CC=C(C)C=C1,40857.18042
CC1=CC=C(CC)C=C1,41076.1578
CC1=CC=CC(C)=C1,40857.18042
CC1=CC=CC2=C1CCC2,40249.199550000005
CC1=CC=CC=C1,40621.92869666666
CC1=CC=CC=C1C,40834.116
CC1=CC=CCC1,42943.31676
CC1=CCC(C)=C1,43288.705910000004
CC1=CCC(CC1)C(C)=C,43391.13551
CC1=CCC=C1,43587.840280000004
CC1=CCC=CC1,43187.43106
CC1=CCCC1,43536.59834
CC1=CCCC=C1,42926.585810000004
CC1=CCCCC1,43061.873055000004
CC1C(C(C)C)C1,43613.04483
CC1C(C)(C)CCCC1,43185.65085
CC1C(C)C(C)C1,43480.55852
CC1C(C)C(C)CC1,43443.8483
CC1C(C)CCC1,43311.686915
CC1C(C=CC)C1,43053.24242
CC1C(CC)CC1,43458.64732
CC1C(CC=C)C1,42417.24381
CC1C=C(C)CC1,43737.8732
CC1C=C(C)CCC1,43623.779910000005
CC1C=CC=CC1,41884.948580000004
CC1C=CCC1,43536.59834
CC1C=CCC=C1,41541.429039999995
CC1C=CCCC1,43307.380265
CC1CC(C)(C)CC1,43443.8483
CC1CC(C)(C)CCC1,43185.65085
CC1CC(C)C(C)C1,43443.8483
CC1CC(C)C(C)CC1,43185.65085
CC1CC(C)C=C1,42538.67536
CC1CC(C)CC1,43307.50497
CC1CC(CC)C1,43378.50871
CC1CC2=C(C=CC=C2)C1,40631.68548
CC1CC=C(C)C1,43750.05972
CC1CC=CCC1,43311.445775
CC1CCC(C)(C)CC1,43168.179105
CC1CCC(CC)CC1,43229.4332
CC1CCC=C1C,43741.26702
CC1CCCC1,43546.96604
CC1CCCCC1,43296.41772666666
CC1[C@@H](C)CCC1,43170.54579
CC=C(C)C=CC,43727.59622
CC=C(C)CCC,44450.919910000004
CC=C(C1CC1)C,43829.47485
CC=C(CC)CC,44290.72213
CC=C1C=CC=C1,41338.87148
CC=C1C=CCC1,42903.95792
CC=C1CCCC1,42749.593810000006
CC=C=C1CCC1,44394.22656
CC=C=CC(C)C,43576.56758
CC=CC(C)(C)C,43818.79928
CC=CC(C)CC,43840.98576
CC=CC1(C)CC1,43424.23988
CC=CC1C(C)C1,43053.24242
CC=CC=CCC,43647.31304
CC=CCC,44549.330630000004
CC=CCC(C)C,44067.01407
CC=CCC1CC1,43389.35625
CC=CCC=CC,43771.09619
CC=CCCCC,44273.93807
CC=C[C@@H](C)CC,43840.98576
CC=C[C@@H]1[C@H](C)C1,43053.24242
CC=C[C@H]1[C@H](C)C1,43053.24242
CCC(C)(C)CC,44538.29516
CCC(C)(C)CCC,44439.707275
CCC(C)(C)CCO,37477.40366
CCC(C)(C)COC,36809.048989999996
CCC(C)(CC)CO,37221.558919999996
CCC(C)(OC)CC,37121.56586
CCC(C)C,44898.739199999996
CCC(C)C(C)CC,44238.175489999994
CCC(C)C(C)CO,38026.468239999995
CCC(C)CC,44642.900945
CCC(C)CC(C)CC,44191.72495
CCC(C)CC(C)CCC,44112.71557
CCC(C)CCC,44505.58495
CCC(C)CCC(C)CC,44112.71557
CCC(C)CCCC,44366.519585
CCC(C)CCCCC,44287.721359999996
CCC(C)CCCCCC,44229.429025000005
CCC(C)CCCCCCC,44184.203089999995
CCC(C)CCCCCCCC,44147.40564
CCC(C)CCCO,37678.00903
CCC(C)CCOC,37173.939889999994
CCC(CC)=C,44601.49924
CCC(CC)CC,44483.1525
CCC(CC)CCC,44366.519585
CCC(CC)CCCC,44305.42484
CCC(CC)CCO,37474.99718
CCC(CC)COC,37027.15107
CCC(O)(C)CCC,37297.948410000005
CCC(O)(CC)CC,37488.083439999995
CCC(O)C(C)CC,37312.70182
CCC(O)CC(C)C,37518.75855
CCC(O)CCCC,37395.506
CCC(OC)CCC,37034.792010000005
CCC(OCC)CC,38069.41576
CCC/C=C/CCCC,44098.99522
CCC1(CC)CC1,43957.85432
CCC1=CC(CC)=CC=C1,41414.173555
CCC1=CC=C(CC)C=C1,41414.173555
CCC1=CC=CC1,42603.38204
CCC1=CC=CC=C1,40978.656273333334
CCC1=CCC=C1,42985.97517
CCC1=CCCC1,43359.43331
CCC1=CCCCC1,42718.6031
CCC1C(C=C)C1,41726.60157
CCC1C(CC)C1,43380.77647
CCC1C=CC=C1,41807.82374
CCC1C=CCC1,43480.290219999995
CCC1CC=CC1,43174.73935
CCC1CCCC1,43541.2851
CCC1CCCCC1,43249.36073
CCC=C=CCC,44996.00744
CCC=CC1CC1,43354.06233
CCC=CCCC,44216.88197
CCCC,45627.185639999996
CCCC(C)(C)CCCC,44299.99493
CCCC(C)(C)CO,37203.83194
CCCC(C)CCC,44366.519585
CCCC(C)CCCC,44287.721359999996
CCCC(C)CCCCC,44229.429025000005
CCCC(C)CCCCCC,44184.203089999995
CCCC(C)CCCCCCC,44147.40564
CCCC(C)CCO,37359.26004
CCCC(C)COC,37146.13951
CCCC(CC)CCC,44287.721359999996
CCCC(CC)CCCC,44229.429025000005
CCCC(CC)CO,37359.41117
CCCC(O)CCC,36567.42125
CCCC1=CC(C)=CC=C1,41414.173555
CCCC1=CC=C(C)C=C1,41414.173555
CCCC1=CC=CC=C1,41228.1388775
CCCC1=CC=CC=C1C,41414.173555
CCCC1C(C)C1,43506.53078
CCCC1CC(C)CC1,43503.4622
CCCC1CCC1,43590.71687
CCCCC,45142.86608
CCCCC(C)CCCC,44229.429025000005
CCCCC(C)CCCCC,44184.203089999995
CCCCC(C)CO,37354.78615
CCCCC1CC1,43586.92993
CCCCCC,44919.29963666666
CCCCCCC,44707.117263333326
CCCCCCCC,44551.164359999995
CCCCCCCCC,44409.50793
CCCCCCCCCC,44309.21005
CCCCCCCCCCC,44241.46995499999
CCCCCCCCCCCC,44183.374465
CCCCCCCO,36431.58347
CCCCCCOC,36162.19068
CCCCCOCC,36730.8036
CCCCOC(C)C,37392.59883
CCCCOCCC,37197.6061
