,Smiles,Density (g/mL),Density_correct
293,CC(OC)CC(C)C,0.7674951179999999,
294,CCC(C)(C)COC,0.7639710140000001,
295,CC(C)C(OC)CC,0.770225394,
296,CC(C)C(C)(C)CO,0.81431653,
297,CCCC(C)COC,0.771434675,
298,CC(C)C,0.575086045,
299,C=CCC,0.58934853,
300,CCCC,0.570650199,
301,C/C=C/C,0.61312054,
302,C/C=C\C,0.61312054,
303,C=CC(C)C,0.63009714,
304,CCC(C)C,0.619687428,
305,C=CCCC,0.632391675,
306,C=C(C)CC,0.648727132,
307,CCCCC,0.615243994,
308,CC=CCC,0.650239069,
309,C/C=C/CC,0.650239069,
310,C/C=C\CC,0.650239069,
311,CC(C)=CC,0.662547674,
312,C=CC=CC,0.679725372,
313,C1=CC=CC1,0.8094384579999999,
314,CC(C)(C)CC,0.641477454,
315,C1=CCCC1,0.772554185,
316,C=CCC(C)C,0.66587489,
317,C=CC(C)CC,0.66587489,
318,C1CCCC1,0.736649613,
319,CC(C)C(C)C,0.662501803,
320,C/C=C\C(C)C,0.677088282,
321,CC(C)CCC,0.655214486,
322,CCC(C)CC,0.655214486,
323,C=C(C)CCC,0.680137393,
324,C=CCCCC,0.667482609,
325,C=C(CC)CC,0.680137393,
326,CCCCCC,0.651203716,
327,CC/C=C/CC,0.6793442690000001,
328,CC/C=C\CC,0.6793442690000001,
329,C/C=C/CCC,0.6793442690000001,
330,CC(C)=CCC,0.691690122,
331,CC1C=CCC1,0.769716486,
332,C=CCC(C)(C)C,0.6925030959999999,
333,C/C=C\CCC,0.6793442690000001,
334,C/C=C(C)/CC,0.691690122,
335,C/C=C/C(C)(C)C,0.69234994,
336,CC1CCCC1,0.74278024,
337,CC(C)CC(C)C,0.673,0.673
338,C=C(C)C=CC,0.7236473390000001,
339,C=C(C)C(C)(C)C,0.709927539,
340,CC1=CCC=C1,0.7974353820000001,
341,C1=CC=CCC1,0.8213085379999999,
342,C=CC(C)C(C)C,0.69586032,
343,C=C(C)C(C)C=C,0.7321511304999999,0.7321511304999999
344,C=C(C)CC(C)C,0.70226943,
345,CC1=CCCC1,0.773260535,
346,C1=CC=CC=C1,0.873,0.873
347,C=CC(C)CCC,0.693843416,
348,CCC(C)(C)CC,0.67708801,
349,C=CCCC(C)C,0.693843416,
350,C=C(C)C(C)CC,0.7009,0.7009
351,C1CCCCC1,0.77090636,
352,CC(C)/C=C/CC,0.698562582,
353,C=CCC(C)CC,0.693843416,
354,CC(C)CCCC,0.6830459640000001,
355,CC(C)C(C)CC,0.689361497,
356,CC1(C)CCCC1,0.754270758,
357,C1=CCCCC1,0.7950090240000001,
358,CCC(C)CCC,0.6830459640000001,
359,C/C=C(C)\C(C)C,0.70886059,
360,C[C@@H]1C[C@H](C)CC1,0.7522823909999999,
361,C=C(C)CCCC,0.705402051,
362,C[C@H]1[C@H](C)CCC1,0.7522823909999999,
363,CC(C)(C)CC(C)C,0.709986311,
364,CC/C(C)=C\CC,0.714454906,
365,CC/C=C/CCC,0.701866028,
366,C=CCCCCC,0.695275566,
367,CCCCCCC,0.679617391,
368,CC/C=C\CCC,0.701866028,
369,CC/C(C)=C/CC,0.714454906,
370,C/C=C/CCCC,0.701866028,
371,CC=C(CC)CC,0.714454906,
372,C/C=C(C)/CCC,0.714454906,
373,C=C(C)CC(C)(C)C,0.731373555,
374,CC(C)=C(C)CC,0.72731164,
375,CC1=CCCCC1,0.8052079109999999,
376,CCC1C=CCC1,0.783305728,
377,C[C@@H]1[C@H](C)CCC1,0.7522823909999999,
