NO.,Compound,Smiles,RON,MON,YSI,?Hc°(KJ/L),?Hc°(KJ/kg),RVP(kPa),Density (g/mL),Boiling Point (K)
87,"1,6-Heptadiyne",C#CCCCC#C,106.9521887,97.11971163,20.56568664,33852.04564,43797.1658,9.693127729,0.772927769,379.8982518
88,"1,5-Heptadiyne",C#CCCC#CC,127.4029582,100.7890534,121.7144202,35255.93234,43796.80788,4.618020401,0.804988629,397.4676558
89,"1,6-Heptadien-3-yne",C=CC#CCC=C,160.1142502,31.77400307,141.4321074,34529.62287,42587.70817,2.549418575,0.810788473,389.0965847
90,"3-Methylcyclohexa-1,4-diene",CC1C=CCC=C1,102.5123709,91.1616057,100.9451232,33112.24671,41541.42904,0.03,0.797089736,366.5396261
91,"1,5-Heptadien-3-yne",C=CC#CC=CC,156.4236999,125.4628223,223.9468621,33329.02953,42055.54297,6.658103244,0.792500279,403.5364234
92,"Cyclobutene, 2-propenylidene-",C=CC=C1C=CC1,132.7409801,126.3210493,134.3919418,37307.0061,41568.22144,15.93255961,0.89748863,385.8587533
93,4-Ethynylcyclopentene,C#CC1CC=CC1,108.400942,134.295285,86.97933617,32862.39929,41324.0245,23.21761187,0.795237146,365.1263578
94,1-Cycloheptene-4-yne,C1=CCC#CCC1,103.172266,77.37864203,147.9429259,33540.48402,42857.29568,0.259340637,0.782608503,376.8232025
95,"1,3-Cycloheptadiene",C1=CC=CCCC1,110.2962218,100.9834806,95.77280687,35034.16596,42435.20896,9.670993058,0.825591928,375.8978095
96,"2-Methyl-1,3-cyclohexadiene",CC1=CCCC=C1,120.2177519,89.04219824,106.8421865,35669.89298,42926.58581,16.27128786,0.830951083,380.0638187
97,"1-Methyl-1,4-cyclohexadiene",CC1=CCC=CC1,110.9810527,98.8135178,128.2138174,36286.58578,43187.43106,14.02326921,0.840211721,375.6917279
98,"1,3-Cyclopentadiene, 5-ethyl",CCC1C=CC=C1,111.3392167,91.90805913,82.63581969,32971.17143,41807.82374,13.45829813,0.788636396,370.493344
99,"1-Methyl-1,3-cyclohexadiene",CC1=CC=CCC1,119.923643,88.86790979,107.6481995,35696.62152,42943.31676,16.06828668,0.831249755,380.0190266
100,Cyclopentylacetylene,C#CC1CCCC1,124.4646139,130.9468521,75.38888958,31876.93414,42351.01838,8.395315871,0.752684005,372.855999
