RON_Molecules,Experiment,SMILES
beta-Pinene,80.6,C=C1CCC2CC1C2(C)C
"2,3-Dimethyl-2-pentene",97.5,CCC(=C(C)C)C
"4,4-Dimethyl-2-pentene (trans)",105.3,C/C=C/C(C)(C)C
2-Methyl-1-heptene,70.2,CCCCCC(=C)C
6-Methyl-3-heptene (trans),93.4,CC/C=C/CC(C)C
"2,2-Dimethyl-3-hexene (cis)",106.8,CC/C=C\C(C)(C)C
"3-Methyl-1,2-butadiene",61,C=C=C(C)C
2-Ethyl-1-butene,98.3,CCC(=C)CC
"3,3-Dimethyl-1-butene",111.7,C=CC(C)(C)C
3-Heptene (cis),90.2,CCC/C=C\CC
2-Methyl-2-hexene,92.8,CCCC=C(C)C
3-Methyl-2-hexene (cis),92.2,CCC/C(=C\C)/C
2-Methylhexane,42.4,CCCCC(C)C
"3,3-Dimethylpentane",80.8,CCC(CC)(C)C
iso-Propylbenzene,113.1,CC(c1ccccc1)C
1-Methyl-3-ethylbenzene,112.1,CCc1cccc(c1)C
"1,4-Diethylbenzene",106,CCc1ccc(cc1)CC
Ethylcycloheptane,29,CCC1CCCCCC1
Pinane,77.7,CC1CCC2CC1C2(C)C
Methylcyclopropane,102.5,CC1CC1
"1,1,2,2-Tetramethylcyclopropane",105.3,CC1(C)CC1(C)C
Isopropenylcyclopropane,94.5,CC(=C)C1CC1
Cyclopentane,101.3,C1CCCC1
Cyclohexane,83,C1CCCCC1
Ethylcyclohexane,45.6,CCC1CCCCC1
"1,1-Dimethylcyclohexane",87.3,CC1(C)CCCCC1
"1,2-Dimethylcyclohexane (trans)",80.9,[C@@H]1(C)CCCC[C@H]1C
"1,4-Dimethylcyclohexane (trans)",68.3,[C@@H]1(C)CC[C@H](CC1)C
iso-Propylcyclohexane,62.8,CC(C1CCCCC1)C
1-Methyl-1-ethylcyclohexane,68.7,CCC1(C)CCCCC1
1-Methylcyclopentene,93.6,CC1=CCCC1
4-Methylcyclohexene,84.1,CC1CCC=CC1
"1,3-Cyclopentadiene",103.5,C1C=CC=C1
