RON_Molecules_x,ZM2V,IC1,SPAN,RDF020m,Mor03u,Mor16m,Mor31m,Mor29v,Mor10p,nCp,ALOGP2,ALOGPS_logS,Data Set,Predicted,Absolute  Error,SMILES,RON_Molecules_y,Experiment
"4,4-Dimethyl-2-pentene (cis)",-0.353,0.289,-0.602,0.563,0.82,-0.428,-1.16,-0.786,-0.656,1.243,-0.505,-0.077,Training,104.79,0.51,C/C=C\C(C)(C)C,"4,4-Dimethyl-2-pentene (cis)",105.3
2-Methyl-2-heptene,-0.353,0.404,1.442,0.253,-0.048,-0.192,0.583,-1.096,-0.611,0.484,0.772,0.495,Training,83.05,7.15,CCCCC=C(C)C,2-Methyl-2-heptene,75.9
"2,3-Dimethyl-2-hexene",-0.091,-0.393,0.521,-0.024,0.673,-0.357,0.865,-2.027,-1.241,1.243,0.756,1.089,Training,96.2,3.1,CCCC(=C(C)C)C,"2,3-Dimethyl-2-hexene",93.1
"2,3,4-Trimethyl-2-pentene",0.084,-0.588,-0.35,-0.243,1.26,0.217,0.249,-1.589,-1.34,2.003,0.435,1.118,Training,99.92,3.02,CC(C(=C(C)C)C)C,"2,3,4-Trimethyl-2-pentene",96.9
"1,5-Hexadiene",-0.702,0.826,0.179,1.182,0.689,1.09,-1.037,-0.272,-0.679,-1.793,-0.89,0.227,Training,82.8,11.7,C=CCCC=C,"1,5-Hexadiene",71.1
2-Methyl-3-hexene (trans),-0.527,0.289,0.697,0.017,-0.024,0.413,-0.843,-0.358,-0.346,0.484,-0.188,-0.255,Training,93.62,4.28,CC/C=C/C(C)C,2-Methyl-3-hexene (trans),97.9
n-Pentane,-1.401,-1.513,-0.341,-0.813,-0.609,0.264,-0.086,0.509,0.14,-0.275,-0.521,0.443,Training,69.7,8,CCCCC,n-Pentane,61.7
"2,3-Dimethylbutane",-1.008,-1.52,-1.152,-0.789,0.077,-0.106,0.073,0.916,-0.944,1.243,-0.464,0.116,Training,98.28,5.22,CC(C(C)C)C,"2,3-Dimethylbutane",103.5
"2,2-Dimethylpentane",-0.79,-1.17,0.094,-0.667,-0.519,-0.318,0.108,1.098,-0.351,1.243,0.079,-0.352,Training,80.19,12.61,CCCC(C)(C)C,"2,2-Dimethylpentane",92.8
"2,2,3-Trimethylbutane",-0.615,-1.335,-1.007,-0.773,0.55,-0.499,0.143,1.408,-1.714,2.003,-0.201,-0.255,Training,103.91,8.19,CC(C(C)(C)C)C,"2,2,3-Trimethylbutane",112.1
2-Methylheptane,-0.79,-1.13,1.657,-0.146,-1.698,-0.357,1.27,0.113,0.432,0.484,1.192,-0.931,Training,25.89,4.19,CCCCCC(C)C,2-Methylheptane,21.7
"2,2-Dimethylhexane",-0.615,-1.13,1.076,-0.406,-1.052,-0.507,0.478,1.216,-0.162,1.243,0.772,-0.767,Training,62.3,10.2,CCCCC(C)(C)C,"2,2-Dimethylhexane",72.5
"2,5-Dimethylhexane",-0.702,-1.062,0.45,-0.243,-1.482,-0.271,1.464,0.381,0.077,1.243,0.847,-0.797,Training,63.99,8.79,CC(CCC(C)C)C,"2,5-Dimethylhexane",55.2
"3,4-Dimethylhexane",-0.571,-1.062,0.449,-0.235,-0.982,0.099,1.499,0.445,0.09,1.243,0.847,-0.797,Training,69.76,6.54,CCC(C(CC)C)C,"3,4-Dimethylhexane",76.3
"2,2,4-Trimethylpentane",-0.527,-1.027,-0.211,-0.349,-0.669,-1.364,0.618,-0.133,-0.378,2.003,0.45,-0.745,Training,103.73,3.73,CC(CC(C)(C)C)C,"2,2,4-Trimethylpentane",100
"2,3,3-Trimethylpentane",-0.353,-1.027,-0.124,-0.496,-0.078,-0.633,0.39,1.365,-1.552,2.003,0.45,-0.738,Training,102.35,3.65,CCC(C(C)C)(C)C,"2,3,3-Trimethylpentane",106
"2,2,3,3-Tetramethylpentane",0.084,-1.245,0.004,-0.471,0.157,-0.861,0.46,1.901,-2.325,2.762,0.775,-0.812,Training,107.77,9.03,CCC(C(C)(C)C)(C)C,"2,2,3,3-Tetramethylpentane",116.8
METHANOL,-1.707,-0.029,-2.753,0.449,1.64,1.475,-2.709,1.933,-0.342,-1.034,-2.093,3.227,Training,105.38,16.62,CO,METHANOL,122
ETHANOL,-1.401,0.178,-1.905,0.172,1.177,0.979,-2.287,1.205,-0.067,-0.275,-2.122,3.145,Training,107.77,1.23,CCO,ETHANOL,109
SEC-BUTANOL,-0.79,0.159,-0.899,0.033,0.363,0.272,-1.442,0.573,-0.216,-0.275,-1.941,2.64,Training,101.34,3.66,CCC(O)C,SEC-BUTANOL,105
"2,5-Dimethylfuran",1.963,1.259,-0.6,-0.032,1.187,3.983,0.442,0.895,0.518,-0.275,-1.781,1.512,Training,118.9,0.1,Cc1ccc(o1)C,"2,5-Dimethylfuran",119
"2,5-Dimethylfuran",1.963,1.259,-0.6,-0.032,1.187,3.983,0.442,0.895,0.518,-0.275,-1.781,1.512,Training,118.9,0.1,Cc1ccc(o1)C,"2,5-dimethylfuran",119
"2,3-Dimethylhexane",-0.615,-1.062,0.844,-0.26,-1.26,-0.145,0.988,0.755,-0.04,1.243,0.847,-0.797,Training,61.91,9.39,CCCC(C(C)C)C,"2,3-Dimethylhexane",71.3
1-Methyl-2-ethylbenzene,1.614,1.381,0.15,-0.26,0.688,0.893,-0.843,1.012,-1.097,-0.275,0.294,-0.144,Training,108.62,6.12,CCc1ccccc1C,1-Methyl-2-ethylbenzene,102.5
"1,3,5-Trimethylbenzene",1.745,0.761,-0.328,-0.333,0.005,1.475,-0.878,1.473,-0.283,0.484,0.338,-0.025,Training,113.41,6.89,Cc1cc(C)cc(c1)C,"1,3,5-Trimethylbenzene",120.3
"1,3-Dimethyl-4-ethylbenzene",2.051,1.216,0.655,-0.121,0.767,0.665,-0.684,0.563,-0.94,0.484,1.069,-0.522,Training,107.93,1.93,CCc1ccc(cc1C)C,"1,3-Dimethyl-4-ethylbenzene",106
