RON_Molecules_x,ZM2V,IC1,SPAN,RDF020m,Mor03u,Mor16m,Mor31m,Mor29v,Mor10p,nCp,ALOGP2,ALOGPS_logS,Data Set,Predicted,Absolute  Error,SMILES,RON_Molecules_y,Experiment
1-Methyl-3-ethylcyclopentane,-0.222,-0.907,0.56,-0.773,-1.053,-1.954,0.09,-1.653,1.917,-0.275,0.267,-0.775,Validation,58.69,1.09,CCC1CCC(C1)C,1-Methyl-3-ethylcyclopentane,57.6
3-Methyl-3-hexene (trans),-0.44,0.251,0.166,-0.129,0.532,0.067,-0.526,-1.353,-0.575,0.484,0.079,0.844,Validation,97.41,1.01,CC/C=C(/CC)\C,3-Methyl-3-hexene (trans),96.4
1-PENTANOL,-0.877,-0.029,0.52,0.945,-0.654,-0.035,-1.054,0.552,0.365,-0.275,-1.659,2.054,Validation,75.67,2.33,CCCCCO,1-PENTANOL,78
4-Methyl-1-hexene,-0.659,1.068,0.44,0.522,-0.269,0.633,0.601,0.049,-0.432,-0.275,-0.115,-0.411,Validation,80.99,5.41,CC(CC)CC=C,4-Methyl-1-hexene,86.4
"1,4-Dimethylcyclohexane (cis)",-0.265,-0.907,-0.408,-0.154,-0.816,-0.79,0.724,0.713,0.113,-0.275,0.267,-0.753,Test,77.62,10.42,[C@@H]1(C)CC[C@@H](CC1)C,"1,4-Dimethylcyclohexane (cis)",67.2
Ethyl Levulinate,2.881,1.216,2.23,0.449,-0.284,-0.64,-1.899,-0.893,-0.364,-0.275,-2.115,1.735,Test,110.12,0.12,CCOC(=O)CCC(=O)C,Ethyl Levulinate,110
2-Methylfuran,1.395,1.931,-1.178,-0.26,1.412,4.227,-0.385,0.927,0.176,-1.034,-1.857,1.727,Test,119.88,16.88,Cc1ccco1,2-Methylfuran,103
4-Methyl-2-hexene (trans),-0.527,0.596,0.511,0.09,0.077,0.633,-0.156,-0.101,-0.827,0.484,-0.188,-0.277,Test,96.38,0.42,C/C=C/C(CC)C,4-Methyl-2-hexene (trans),96.8
alpha-Pinene,1.745,1.329,-0.125,6.344,0.25,-0.554,2.362,-1.664,0.914,0.484,-0.244,0.146,Test,89.91,6.81,CC1=CCC2CC1C2(C)C,alpha-Pinene,83.1
"2,2,3,3-Tetramethylhexane",0.259,-1.128,1.084,-0.211,-0.631,-0.9,0.618,2.018,-1.669,2.762,1.563,-1.116,Test,109.64,3.16,CCCC(C(C)(C)C)(C)C,"2,2,3,3-Tetramethylhexane",112.8
2-Methylpentane,-1.139,-1.14,-0.074,-0.659,-0.716,0.146,0.319,0.563,0.027,0.484,-0.203,-0.099,Test,72.58,0.82,CCCC(C)C,2-Methylpentane,73.4
Vinylcyclohexane,-0.047,0.427,0.513,0.774,-0.392,-0.106,0.002,0.21,0.018,-1.793,0.001,-0.604,Test,65.71,1.41,C=CC1CCCCC1,Vinylcyclohexane,64.3
"2,4-Hexadiene",-0.484,0.826,0.337,-0.048,0.872,0.602,-0.42,-0.347,-0.094,-0.275,-1.001,0.68,Test,96.29,0.81,C/C=C/C=C/C,"2,4-Hexadiene",97.1
"3,4,4-Trimethyl-2-pentene",0.128,0.136,-0.007,-0.072,0.803,0.264,-0.966,-0.582,-1.709,2.003,0.082,0.784,Test,105.03,2.53,CC=C(C(C)(C)C)C,"3,4,4-Trimethyl-2-pentene",102.5
1-Pentene,-1.139,1.118,-0.407,0.05,0.382,0.72,-0.737,0.21,-0.274,-1.034,-0.958,0.376,Test,88.24,2.66,CCCC=C,1-Pentene,90.9
"cis,cis,trans-1,2,4-Trimethylcyclopentane",-0.091,-0.858,-0.362,-0.822,-0.866,-1.545,0.707,-1.428,0.81,0.484,-0.024,-0.582,Test,95.45,6.25,[C@@H]1(C)C[C@H]([C@H](C1)C)C,"cis,cis,trans-1,2,4-Trimethylcyclopentane",89.2
2-Methyl-1-hexene,-0.615,0.819,0.738,0.245,-0.024,0.004,0.372,-0.807,-0.89,-0.275,0.156,0.502,Test,85.32,5.38,CCCCC(=C)C,2-Methyl-1-hexene,90.7
3-Methyl-2-ethyl-1-butene,-0.353,0.512,-0.616,0.082,1.54,0.201,-1.195,-1,-0.904,0.484,-0.129,0.74,Test,98.29,1.29,CCC(=C)C(C)C,3-Methyl-2-ethyl-1-butene,97
3-Methyl-2-hexene (trans),-0.484,0.474,0.393,-0.024,0.487,-0.129,0.178,-1.139,-1.057,0.484,0.079,0.821,Test,95.77,4.37,CCC/C(=C/C)/C,3-Methyl-2-hexene (trans),91.4
"2,3-Dimethyl-1-butene",-0.615,0.7,-1.067,-0.129,1.766,0.799,-1.089,-0.368,-0.697,0.484,-0.696,1.207,Test,98.84,2.46,CC(=C)C(C)C,"2,3-Dimethyl-1-butene",101.3
Isopropylcyclopropane,-0.571,-0.839,-0.989,-1.367,0.518,0.067,-0.174,-0.39,0.994,-0.275,-0.889,0.131,Test,101.32,1.02,CC(C1CC1)C,Isopropylcyclopropane,100.3
"2,2-Dimethyl-3-ethylpentane",-0.178,-0.931,0.207,-0.121,-0.989,-0.743,2.256,0.07,0.194,2.003,1.195,-1.079,Test,94.66,17.44,CCC(C(C)(C)C)CC,"2,2-Dimethyl-3-ethylpentane",112.1
"1,2-Dimethylcyclohexane (cis)",-0.222,-0.907,-0.678,-0.146,-0.572,-0.743,0.724,0.648,0.131,-0.275,0.267,-0.767,Test,83.14,2.24,[C@@H]1(C)CCCC[C@@H]1C,"1,2-Dimethylcyclohexane (cis)",80.9
"2,3,3-Trimethyl-1-pentene",0.084,0.655,-0.169,0.172,1.177,0.366,-0.614,-0.561,-1.628,1.243,0.159,0.213,Test,103.95,1.35,CCC(C(=C)C)(C)C,"2,3,3-Trimethyl-1-pentene",105.3
"3,3-Dimethylhexane",-0.527,-1.13,0.646,-0.39,-0.689,-0.491,0.513,0.991,-0.175,1.243,0.772,-0.76,Test,77.43,1.93,CCCC(CC)(C)C,"3,3-Dimethylhexane",75.5
"3,3,5-Trimethylcyclohexene",0.609,0.841,-0.149,0.628,-0.476,-0.798,1.393,-0.015,0.104,0.484,-0.071,-0.842,Test,100.73,4.23,CC1CC=CC(C1)(C)C,"3,3,5-Trimethylcyclohexene",96.5
3-Methylhexane,-0.921,-1.121,0.57,-0.366,-0.995,0.122,1.006,0.22,0.36,0.484,0.447,-0.589,Test,54.24,2.24,CCCC(CC)C,3-Methylhexane,52
"2,5-Dimethyl-3-hexene (trans)",-0.222,-0.054,0.268,0.09,-0.076,0.201,-0.684,-0.165,-0.679,1.243,0.161,-0.53,Test,102.74,2.94,CC(/C=C/C(C)C)C,"2,5-Dimethyl-3-hexene (trans)",99.8
"cis,trans,trans-1,2,4-trimethylcyclohexane",0.084,-0.839,0.116,-0.04,-1.686,-0.782,1.164,0.959,-0.031,0.484,0.653,-0.99,Test,74.38,1.58,[C@@H]1(C)CC[C@H]([C@@H](C1)C)C,"cis,trans,trans-1,2,4-trimethylcyclohexane",72.8
"1,2,3-Trimethylcyclohexane (cis,trans,cis)",0.128,-0.839,-0.34,-0.024,-1.902,-0.75,1.164,0.98,-0.405,0.484,0.653,-0.99,Test,80.9,2.5,[C@@H]1(C)[C@@H](C)CCC[C@H]1C,"1,2,3-Trimethylcyclohexane (cis,trans,cis)",83.4
"2,2-Dimethylpropane",-1.227,-1.687,-1.944,-1.196,0.804,-0.058,-0.544,1.333,-0.634,1.243,-1.023,0.614,Outliers,,,CC(C)(C)C,"2,2-Dimethylpropane",85.5
tert-Butylcyclohexane,0.346,-0.761,0.17,0.123,-1.674,-1.096,0.724,1.654,-0.076,0.484,1.344,-1.421,Outliers,,,CC(C1CCCCC1)(C)C,tert-Butylcyclohexane,98.5
tert-Amylcyclohexane,0.609,-0.816,0.941,0.4,-1.665,-1.317,0.918,1.537,0.509,0.484,2.202,-1.718,Outliers,,,CCC(C1CCCCC1)(C)C,tert-Amylcyclohexane,90.4
Dicyclopentadiene,2.269,1.458,-0.655,-0.895,0.279,-3.094,0.284,-1.246,3.316,-1.793,-1.107,-0.456,Outliers,,,C1=CC2C(C1)C1C=CC2C1,Dicyclopentadiene,107.4
2-Methyldecane,-0.265,-1.212,4.177,0.628,-3.295,-1.081,2.256,-0.39,0.985,0.484,3.995,-1.866,Outliers,,,CCCCCCCCC(C)C ,2-Methyldecane,0
