NO.,Compound,Smiles,RON,MON,YSI,?Hc°(KJ/L),?Hc°(KJ/kg),RVP(kPa),UB(mol/L),Density (g/mL),Boiling Point (K)
178,3-methyldecane,CCC(C)CCCCCCC,-35.95955668,-22.63220825,71.52893994,32896.6931,44166.50132,0.227584977,0,0.744833576,460.6616564
179,5-methylindane,CC1=CC2=C(CCC2)C=C1,117.0900854,85.91210066,481.1222543,43608.04968,45394.58357,0.150254766,0,0.960644338,475.3673206
180,n-undecane,CCCCCCCCCCC,-74.62340123,-67.13433786,67.71674466,32857.49024,44223.74524,0.139668196,0,0.742982985,469.6748556
181,"1,2,4,5-tetramethylbenzene",CC1=C(C)C=C(C)C(C)=C1,140.2054711,107.329514,387.1796462,36437.49757,41044.69943,0.36254887,0,0.8877516,471.9257179
182,"1,2,3,5-tetramethylbenzene",CC1=CC(C)=C(C)C(C)=C1,140.2054711,107.329514,387.1796462,36437.49757,41044.69943,0.256670877,0,0.8877516,471.9257179
183,4-methylindane,CC1=CC=CC2=C1CCC2,117.0900854,85.91210066,481.1222543,38648.76623,40232.12828,0.135799058,0,0.960644338,475.3673206
184,"1,2,3,4-tetramethylbenzene",CC1=CC=C(C)C(C)=C1C,100.8767872,99.8720539,389.6053553,36437.49757,41044.69943,0.248339086,0,0.8877516,471.9257179
185,4-methylundecane,CCCC(C)CCCCCCC,-47.12659961,-41.426211,78.69662651,33239.12313,44129.70369,0.072821641,0,0.753214283,480.4629759
186,2-methylundecane,CC(C)CCCCCCCCC,-26.31898563,-26.41979939,78.69662651,33239.12313,44129.70369,0.082003404,0,0.753214283,480.4629759
187,3-methylundecane,CCC(C)CCCCCCCC,-47.12659961,-41.426211,78.69662651,33239.12313,44129.70369,0.073641859,0,0.753214283,480.4629759
188,naphthalene,C12=CC=CC=C1C=CC=C2,106.3151276,107.8026996,494.3887559,44849.56284,39507.24162,0.219653398,0,1.135223847,492.3417695
189,2-methylindan,CC1CC2=C(C=CC=C2)C1,125.1588373,92.24095129,465.8254268,38672.86728,40631.68548,0.243974671,0,0.95179087,466.7354434
190,n-dodecane,CCCCCCCCCCCC,-81.04802923,-73.71370547,74.47170778,33188.64442,44165.65809,0.069069779,0,0.751458166,490.0389969
