NO.,Compound,Smiles,RON,MON,YSI,?Hc°(KJ/L),?Hc°(KJ/kg),RVP(kPa),UB(mol/L),Density (g/mL),Boiling Point (K)
97,"2,5-dimethylnonane",CC(C)CCC(C)CCCC,16.36931431,32.53747653,77.93515373,33050.31489,44117.48642,0.38618562,0,0.749143199,454.4507546
98,"2,6-dimethylnonane",CC(C)CCCC(C)CCC,16.36931431,32.53747653,77.93515373,33050.31489,44117.48642,0.38618562,0,0.749143199,454.4507546
99,1-methyl-4-propylbenzene,CCCC1=CC=C(C)C=C1,100.6407079,97.40070822,270.1455862,35957.47954,41431.52904,0.391658332,0,0.867877203,457.7320788
100,"1-ethyl-2,3-dimethylbenzene",CC1=C(C)C(CC)=CC=C1,99.83836057,94.51806769,348.7553447,36246.988,41250.55962,0.172565495,0,0.87870294,462.8996091
101,5-methyldecane,CCCCC(C)CCCCC,-35.95955668,-22.63220825,71.52893994,32923.06285,44201.90486,0.227657406,0,0.744833576,460.6616564
102,4-methyldecane,CCCC(C)CCCCCC,-35.95955668,-22.63220825,71.52893994,32923.06285,44201.90486,0.223007317,0,0.744833576,460.6616564
103,2-methyldecane,CC(C)CCCCCCCC,-21.37334377,-19.29413668,71.52893994,32923.06285,44201.90486,0.22078838,0,0.744833576,460.6616564
104,"2-ethyl-1,4-dimethylbenzene",CC1=CC=C(C)C(CC)=C1,100.8134331,96.28836741,355.2338703,36246.988,41250.55962,0.323744835,0,0.87870294,462.8996091
105,3-methyldecane,CCC(C)CCCCCCC,-35.95955668,-22.63220825,71.52893994,32923.06285,44201.90486,0.227584977,0,0.744833576,460.6616564
106,n-undecane,CCCCCCCCCCC,-74.62340123,-67.13433786,67.71674466,32883.82856,44259.19467,0.139668196,0,0.742982985,469.6748556
107,"1,2,4,5-tetramethylbenzene",CC1=C(C)C=C(C)C(C)=C1,140.2054711,107.329514,387.1796462,36468.05018,41079.11515,0.36254887,0,0.8877516,471.9257179
108,"1,2,3,5-tetramethylbenzene",CC1=CC(C)=C(C)C(C)=C1,140.2054711,107.329514,387.1796462,36468.05018,41079.11515,0.256670877,0,0.8877516,471.9257179
109,4-methylindane,CC1=CC=CC2=C1CCC2,117.0900854,85.91210066,481.1222543,38681.56507,40266.27082,0.135799058,0,0.960644338,475.3673206
110,"1,2,3,4-tetramethylbenzene",CC1=CC=C(C)C(C)=C1C,100.8767872,99.8720539,389.6053553,36468.05018,41079.11515,0.248339086,0,0.8877516,471.9257179
111,4-methylundecane,CCCC(C)CCCCCCC,-47.12659961,-41.426211,78.69662651,33265.78985,44165.10759,0.072821641,0,0.753214283,480.4629759
112,2-methylundecane,CC(C)CCCCCCCCC,-26.31898563,-26.41979939,78.69662651,33265.78985,44165.10759,0.082003404,0,0.753214283,480.4629759
113,3-methylundecane,CCC(C)CCCCCCCC,-47.12659961,-41.426211,78.69662651,33265.78985,44165.10759,0.073641859,0,0.753214283,480.4629759
114,naphthalene,C12=CC=CC=C1C=CC=C2,106.3151276,107.8026996,494.3887559,44888.57689,39541.60846,0.219653398,0,1.135223847,492.3417695
115,n-dodecane,CCCCCCCCCCCC,-81.04802923,-73.71370547,74.47170778,33215.27065,44201.09084,0.069069779,0,0.751458166,490.0389969
